RegionName,VAChT,D2,5-HT1b,5-HT2a,5-HT1a,5-HTT,5-HT4,NET,mGluR5,GABAa,DAT,H3,a4b2,D1,MOR,CB1,M1,5-HT6,KOR
L_rostralmiddlefrontal,0.30855208776437626,0.24686111118099452,0.5302233527578086,0.6352084072046992,0.3956292625059099,0.14761517431056095,0.44116819064156293,0.33172471203208587,0.6430488097832938,0.5235707183346145,0.2933077114997841,0.2770654568049884,0.7685594643468978,0.5157598127034534,0.8057739468156705,0.8169143462661845,0.5174152030837605,0.8366138323624543,0.6188067581933575
L_superiorfrontal,0.365369828449201,0.19693891712818082,0.5331389928434033,0.6014241238470983,0.3522137663512009,0.14700466721750727,0.44789149722240135,0.3621610154625401,0.5988119331479056,0.42169692181525187,0.19964895819981726,0.5496926990021784,0.7810726620352979,0.30161234104500245,0.75997748961914,0.6763767175664566,0.5961247935375121,0.7064095336935867,0.6787072150980477
L_superiorparietal,0.1499684091967152,0.1979369004664837,0.34510360756457825,0.3708244579725636,0.24191446528502422,0.0405666925210919,0.29033179808640586,0.33296637633757165,0.39476270980110856,0.3368730183084227,0.16650052331086315,0.15569201960343423,0.6342590124270565,0.17525385387939527,0.42127450234433583,0.47069213121619063,0.6628285586600152,0.6555729529741358,0.3970221486575407
L_superiortemporal,0.40766976619324985,0.4817338012725705,0.38496155176905233,0.7048782438670752,0.5443384354635732,0.455464006474897,0.8081309990978605,0.3214634600594167,0.5786497815773622,0.45748302181874473,0.39709036874179965,0.295409102008941,0.5090909480142838,0.32969811410762506,0.5839242239495409,0.7026088891127952,0.6492704790194026,0.783225558690437,0.597640717504639
L_supramarginal,0.32171529488393297,0.39020549716263736,0.42598492718855635,0.625546267358792,0.40389807727201066,0.1520225264735833,0.5904645275050253,0.4960972551756142,0.7680983679195749,0.47437835175785337,0.2855115239210799,0.2570796492271537,0.7496909877921191,0.3438941867840197,0.6800953376172675,0.8102928551371259,0.7938645923248265,0.8444018292451768,0.5979829329534043
L_frontalpole,0.18793434985068894,0.16336634814517698,0.596825743902157,0.8147154430669131,0.5061783655191212,0.2425085206917071,0.7866963407564194,0.02566005291932243,0.4743449549069369,0.4815681810617919,0.0006564998267165262,0.3659583753424194,0.6749115116464343,0.36095036242464096,0.6669625085008275,0.7864990484537492,0.8485191416799059,0.39758779435429525,0.466633386442013
L_temporalpole,0.11161138951674295,0.6482022276916422,0.167046087488939,0.4794082814721282,0.8199020916381774,0.6771057306451648,0.8272540760678453,0.07824020260538106,0.2376341864087035,0.1839133759132449,0.4215404696336981,0.10481418081677753,0.1361002409607112,0.38123469072809174,0.7348670217718197,0.7443315584139027,0.5761779677461488,0.32897217855841043,0.5879727515124131
L_transversetemporal,0.8599277941671453,0.3359903369114931,0.5469630959525318,0.7847268083861686,0.4378537694754103,0.756554537128568,0.6058860671377355,0.5127942986680974,0.6778207175252009,0.6444027131325135,0.5845658234696831,0.4244444525037415,0.6704645902337565,0.6422810398382115,0.38067406748810045,0.40061109481922125,0.5909917269635879,0.697225331230719,0.4903973191200053
L_insula,0.8717831825114598,0.984527130269083,0.4227569799711243,0.5324685123268913,0.6126229669418503,0.9076402689008859,0.6682724966848672,0.2020572702140276,0.5971989032122156,0.40845762919847006,0.8908871676807877,0.5083153812490783,0.7089027016000742,0.7749315325523158,0.7700079417878469,0.6481302879387935,0.5802631662992429,0.8863334352926738,0.7520333275943164
R_bankssts,0.2963976302638216,0.3930613295727263,0.38837860955351106,0.6719475808867774,0.42915937637888796,0.20091917322002092,0.6796532292179818,0.36080052421186615,0.7513348459111158,0.3935234322071507,0.5164566808905294,0.0,0.7221105332462475,0.773281385660646,0.5890471495244167,0.3988309751709176,0.4269176205037211,0.7014354680323488,0.4425615509556374
